Cores	1x2	1x3	1x4	1x6	2x2	2x3	2x4	2x8	4x4	4x8																																
aliceblue	4	0	0	0	0	0	0	0	0	0																																
yellow	0	0	2	2	2	2	0	0	0	1																																
gold	2	0	0	0	0	0	3	0	0	0																																
blue	0	0	0	6	0	0	0	2	2	0																																
skyblue	16	0	0	0	0	0	0	2	0	0																																
navy	2	0	2	0	0	0	0	0	0	0																																
bisque	0	4	4	0	0	0	0	0	0	0																																
firebrick	6	0	2	0	3	0	0	0	0	0																																
cyan	0	0	8	6	0	0	0	0	0	0																																
grey	0	0	0	0	1	0	0	0	0	0																																
orange	7	2	0	0	0	2	1	0	0	0																																
saddlebrown	0	0	0	0	0	8	2	0	0	0																																
chocolate	8	0	5	0	0	0	0	0	0	0																																
pink	0	0	0	0	2	0	0	0	0	0																																
lightpink	0	0	0	0	0	0	2	0	0	0																																
hotpink	0	0	2	0	0	0	0	0	0	0																																
green	0	0	0	0	2	1	2	0	1	0																																
greenyellow	0	0	2	0	0	0	2	0	0	0																																
forestgreen	1	0	0	0	0	0	2	0	0	0																																
red	1	0	0	0	0	0	2	1	0	0																																
violet	0	0	0	0	0	0	2	0	0	0						
