Cores	1x2	1x3	1x4	1x6	2x2	2x3	2x4	2x8	4x4	4x8																																
alice_blue	4	0	0	0	0	0	0	0	0	0																																
amarelo	0	0	2	2	2	2	0	0	0	1																																
amarelo_quente	2	0	0	0	0	0	3	0	0	0																																
azul	0	0	0	6	0	0	0	2	2	0																																
azul_claro	16	0	0	0	0	0	0	2	0	0																																
azul_escuro	2	0	2	0	0	0	0	0	0	0																																
bege	0	4	4	0	0	0	0	0	0	0																																
Carmim	6	0	2	0	3	0	0	0	0	0																																
Ciano	0	0	8	6	0	0	0	0	0	0																																
Cinza	0	0	0	0	1	0	0	0	0	0																																
Laranja	7	2	0	0	0	2	1	0	0	0																																
Marrom	0	0	0	0	0	8	2	0	0	0																																
marrom_claro	8	0	5	0	0	0	0	0	0	0																																
rosa	0	0	0	0	2	0	0	0	0	0																																
rosa_claro	0	0	0	0	0	0	2	0	0	0																																
rosa_escuro	0	0	2	0	0	0	0	0	0	0																																
verde	0	0	0	0	2	1	2	0	1	0																																
verde_claro	0	0	2	0	0	0	2	0	0	0																																
verde_escuro	1	0	0	0	0	0	2	0	0	0																																
vermelho	1	0	0	0	0	0	2	1	0	0																																
violeta	0	0	0	0	0	0	2	0	0	0						
